"ISBN","도서명","원도서명","출판사","정가","위치코드","위치설명","정품","반품","창고재고","재고구분","위험재고","거래상태","재고매칭"
"9791188236275","풀은 맛있어! 먹고또 먹고 애벌래 (Aa63)","풀은 맛있어! 먹고또 먹고 애벌래 (Aa63)","아이들은자연이다","15000","","위치 정보가 없습니다.","715","1","716","","","거래","일치"
"9791167852892","브랜드, 개인화, 콘텐츠 - 처음 시작하는 AI마케팅","브랜드, 개인화, 콘텐츠 - 처음 시작하는 AI마케팅 (B321)","슬로디미디어","16800","B321","B동 3번 라인, 앞에서 2번째, 1층","266","0","266","","","거래","일치"
"","반품","반품","도서출판 파스칼","0","","위치 정보가 없습니다.","0","0","0","0재고","","거래","일치"
"9788964037010","[재정가] 꿈꾸는 돌멩이(Aa24)","[재정가] 꿈꾸는 돌멩이(Aa24)","좋은나무성품학교","12000","","위치 정보가 없습니다.","49","0","49","위험","위험","거래","일치"
"9791199541306","북한 문학 매체와 젠더 (Ab23)","북한 문학 매체와 젠더 (Ab23)","두루 출판사","25000","","위치 정보가 없습니다.","1","0","1","위험","위험","거래","일치"
"9791188236268","보통의 단어도감 (Aa54)","보통의 단어도감 (Aa54)","아이들은자연이다","15000","","위치 정보가 없습니다.","474","1","475","","","거래","일치"
"9791198742490","행복한 삶을 위한 죽은 담론 (Ab34)","행복한 삶을 위한 죽은 담론 (Ab34)","두루 출판사","30000","","위치 정보가 없습니다.","252","0","252","","","거래","일치"
"9791167852878","나의 첫 외국계 취업","나의 첫 외국계 취업 (B412)","슬로디미디어","18000","B412","B동 4번 라인, 앞에서 1번째, 2층","611","0","611","","","거래","일치"
"9791198773456","전쟁을 알아야 평화를 이룬다","전쟁을 알아야 평화를 이룬다 (A211)","지베르니 출판그룹","22000","A211","A동 2번 라인, 앞에서 1번째, 1층","1635","0","1635","","","거래","일치"
"9791191155631","시인의 사진","시인의 사진 (B182)","도서출판 서정문학","19000","B182","B동 1번 라인, 앞에서 8번째, 2층","7","0","7","위험","위험","거래","일치"
"9791199472532","꿈 한 켤레","꿈 한 켤레 (B174)","디자인 존(도서출판 푸른산)","12000","B174","B동 1번 라인, 앞에서 7번째, 4층","5","0","5","위험","위험","거래","일치"
"9791199472525","빛의 수술","빛의 수술 (B174)","디자인 존(도서출판 푸른산)","12000","B174","B동 1번 라인, 앞에서 7번째, 4층","9","0","9","위험","위험","거래","일치"
"9791199472518","아름다울 가 -","아름다울 가 - (B184)","디자인 존(도서출판 푸른산)","12000","B184","B동 1번 라인, 앞에서 8번째, 4층","5","0","5","위험","위험","거래","일치"
"9791188574711","끝없는 말싸움","끝없는 말싸움 (A131)","나는별","18000","A131","A동 1번 라인, 앞에서 3번째, 1층","0","0","0","0재고","","거래","일치"
"9791167852847","K뱅크 레볼루션","K뱅크 레볼루션 (B413)","슬로디미디어","18000","B413","B동 4번 라인, 앞에서 1번째, 3층","1458","0","1458","","","거래","일치"
"9791167852830","요즘 소비트렌드 2026","요즘 소비트렌드 2026 (B321)","슬로디미디어","18000","B321","B동 3번 라인, 앞에서 2번째, 1층","199","0","199","","","거래","일치"
"9791197132933","심호흡하며 읽는 시","심호흡하며 읽는 시","우시모북스","15000","","위치 정보가 없습니다.","41","0","41","위험","위험","거래","일치"
"9791199294516","내가 나에게 건네는 이야기","내가 나에게 건네는 이야기 (B332)","오리북스","14000","B332","B동 3번 라인, 앞에서 3번째, 2층","77","0","77","","","거래","일치"
"9791191155624","뜻밖에","뜻밖에 (B182)","도서출판 서정문학","12000","B182","B동 1번 라인, 앞에서 8번째, 2층","11","0","11","위험","위험","거래","일치"
"9791199294509","MONEY INSIGHT-머니 인사이트","MONEY INSIGHT-머니 인사이트 (B332)","오리북스","16000","B332","B동 3번 라인, 앞에서 3번째, 2층","367","0","367","","","거래","일치"
"9791187642473","개념 폴리아 중학 수학 1-1","개념 폴리아 중학 수학 1-1","우리교과서","17000","","위치 정보가 없습니다.","40","0","40","위험","위험","거래","일치"
"9791191157161","우리 함께 걸을래요","우리 함께 걸을래요 (A343)","씨이오메이커","16800","A343","A동 3번 라인, 앞에서 4번째, 3층","831","0","831","","","거래","일치"
"9791167852809","스타트업을 위한 나의 첫 세무수업","스타트업을 위한 나의 첫 세무수업 (B321)","슬로디미디어","19800","B321","B동 3번 라인, 앞에서 2번째, 1층","452","0","452","","","거래","일치"
"9791198148988","인곡본초 4 -익모초-","인곡본초 4 -익모초- (B221)","느티나무가 있는 풍경","23000","B221","B동 2번 라인, 앞에서 2번째, 1층","137","0","137","","","거래","일치"
"9791188574704","가랑잎이 참 좋다","가랑잎이 참 좋다 (A221)","나는별","16000","A221","A동 2번 라인, 앞에서 2번째, 1층","0","1","1","위험","위험","거래","일치"
"9791192700229","있는 그대로의 내가 좋아","있는 그대로의 내가 좋아 (B341)","별글","16800","B341","B동 3번 라인, 앞에서 4번째, 1층","846","0","846","","","거래","일치"
"9791167852793","나는 반려견 훈련사 입니다","나는 반려견 훈련사 입니다 (B311)","슬로디미디어","16800","B311","B동 3번 라인, 앞에서 1번째, 1층","331","0","331","","","거래","일치"
"9791197134128","[재정가] 인연은 선물 받는거야","[재정가] 인연은 선물 받는거야","느티나무가 있는 풍경","19000","","위치 정보가 없습니다.","770","0","770","","","거래","일치"
"9791167852731","나의 첫 보자기 창업","나의 첫 보자기 창업 (B422)","슬로디미디어","16800","B422","B동 4번 라인, 앞에서 2번째, 2층","573","0","573","","","거래","일치"
"9791198742483","한국사 입문 (Ab24)","한국사 입문 (Ab24)","두루 출판사","28000","","위치 정보가 없습니다.","189","0","189","","","거래","일치"
"9791198773449","우리는 이야기로 이루어져 있다.","우리는 이야기로 이루어져 있다. (A211)","지베르니 출판그룹","22000","A211","A동 2번 라인, 앞에서 1번째, 1층","1139","1","1140","","","거래","일치"
"9791167852724","나는 세금없는 두바이에서 집산다","나는 세금없는 두바이에서 집산다 (B311)","슬로디미디어","22000","B311","B동 3번 라인, 앞에서 1번째, 1층","416","0","416","","","거래","일치"
"9791197228094","한 때 비 그리고 갬","한 때 비 그리고 갬 (B174)","디자인 존(도서출판 푸른산)","12000","B174","B동 1번 라인, 앞에서 7번째, 4층","13","0","13","위험","위험","거래","일치"
"9791197228070","구례 가는 길","구례 가는 길 (B174)","디자인 존(도서출판 푸른산)","12000","B174","B동 1번 라인, 앞에서 7번째, 4층","16","0","16","위험","위험","거래","일치"
"9791197228087","아름다운 배웅","아름다운 배웅 (B174)","디자인 존(도서출판 푸른산)","12000","B174","B동 1번 라인, 앞에서 7번째, 4층","11","0","11","위험","위험","거래","일치"
"9791187642459","고등학교 수학과 문화","고등학교 수학과 문화 (A141)","우리교과서","11000","A141","A동 1번 라인, 앞에서 4번째, 1층","41","0","41","위험","위험","거래","일치"
"9791187642466","고등학교 이산 수학","고등학교 이산 수학 (A141)","우리교과서","13000","A141","A동 1번 라인, 앞에서 4번째, 1층","2","0","2","위험","위험","거래","일치"
"9791167852717","학교 공간 디자인 산책","학교 공간 디자인 산책 (B413)","슬로디미디어","19800","B413","B동 4번 라인, 앞에서 1번째, 3층","985","0","985","","","거래","일치"
"9791191155617","바람에게 묻다","바람에게 묻다 (B182)","도서출판 서정문학","12000","B182","B동 1번 라인, 앞에서 8번째, 2층","29","0","29","위험","위험","거래","일치"
"9791197342271","누리자 유아임용 기출문제집 7+7","누리자 유아임용 기출문제집 7+7 (A221)","우리교과서","42000","A221","A동 2번 라인, 앞에서 2번째, 1층","408","9","417","","","거래","일치"
"9791188574094","[재정가]비오니까 참 좋다","[재정가]비오니까 참 좋다 (A231)","나는별","15000","A231","A동 2번 라인, 앞에서 3번째, 1층","1065","0","1065","","","거래","일치"
